distance,duration
11804.03,16.42
2819.35,4.15
2819.35,4.25
2819.35,10.92
3169.37,4.57
2831.39,4.23
2831.39,4.18
2831.39,3.52
3611.75,4.85
3930.39,5.13
4503.2,6.15
8199.72,11.83
8199.72,11.75
8199.72,11.83
8199.72,12.17
8199.72,11.2
204.52,1.35
204.52,1.18
204.52,1.23
204.52,1.03
204.52,1.02
204.52,1.03
204.52,1.22
204.52,1.18
204.52,1.02
204.52,1.38
204.52,1.02
204.52,1.32
204.52,4.23
204.52,1.02
1789.48,2.82
1789.48,2.85
1789.48,2.88
1789.48,2.87
1789.48,2.42
9587.16,10.53
6343.97,7.67
6343.97,7.67
6343.97,7.92
6343.97,8.0
3642.9,5.08
507.2,1.38
507.2,1.42
507.2,1.38
507.2,1.53
507.2,1.37
507.2,1.47
507.2,1.38
507.2,1.47
507.2,1.42
507.2,1.37
507.2,1.37
507.2,1.42
507.2,1.37
507.2,1.37
507.2,1.42
507.2,1.38
507.2,1.37
507.2,1.42
507.2,1.38
507.2,1.1
507.2,1.37
507.2,1.37
507.2,1.37
507.2,1.38
507.2,1.12
507.2,1.38
507.2,1.38
507.2,1.23
507.2,0.98
507.2,1.33
507.2,1.63
507.2,1.47
507.2,1.33
507.2,1.42
507.2,19.7
507.2,2.9
507.2,1.08
507.2,1.52
507.2,2.08
507.2,1.63
507.2,1.42
507.2,1.42
507.2,1.73
507.2,1.25
507.2,1.38
507.2,2.33
507.2,1.37
507.2,1.37
507.2,2.23
507.2,1.3
507.2,1.1
507.2,1.15
507.2,1.07
507.2,1.1
507.2,0.72
507.2,1.1
7933.66,11.17
4170.61,5.75
3345.51,5.32
3345.51,5.12
3345.51,5.0
3345.51,5.42
3345.51,5.57
3345.51,5.48
3345.51,5.0
3345.51,4.37
3345.51,5.32
3345.51,5.5
3345.51,5.12
3345.51,5.12
3345.51,5.28
3345.51,5.48
3345.51,5.32
3345.51,5.28
3345.51,5.0
3345.51,5.42
3345.51,5.23
3345.51,5.28
3345.51,5.42
3345.51,5.42
3345.51,5.57
3345.51,5.25
3345.51,4.93
6640.95,8.08
5739.2,7.17
6934.68,8.42
6934.68,8.42
5511.39,6.92
5707.05,7.33
5707.05,7.08
5707.05,7.33
5707.05,7.08
5707.05,7.33
5707.05,7.17
5260.99,6.83
5260.99,6.58
6269.45,7.83
5989.66,7.83
5989.66,7.25
5989.66,7.5
4513.02,5.75
4513.02,5.75
4513.02,5.75
6173.86,7.33
11501.4,13.25
6060.01,7.58
5928.35,7.08
7085.63,8.58
6019.85,7.42
6019.85,7.67
6019.85,7.42
6948.28,8.25
5740.46,7.17
5740.46,7.0
5740.46,6.92
5740.46,7.25
2605.32,4.33
2605.32,4.58
2605.32,4.33
2605.32,4.33
2605.32,4.5
2605.32,4.25
2605.32,4.53
2605.32,4.33
2605.32,4.5
2605.32,4.33
2605.32,4.6
2605.32,4.6
2605.32,4.53
2605.32,4.53
2605.32,4.58
2605.32,4.33
2605.32,4.58
2605.32,4.53
2605.32,4.6
3246.67,4.92
3246.67,5.42
3246.67,5.73
3246.67,5.5
5642.23,6.92
6490.66,7.92
11670.12,13.83
3848.07,5.7
3771.44,5.58
3771.44,5.5
10444.49,11.75
11246.41,13.58
11246.41,13.58
11122.33,12.83
11082.19,13.5
11082.19,12.75
12078.77,15.92
10299.6,13.83
12548.53,15.67
12548.53,15.83
12548.53,15.5
12548.53,15.3
12548.53,15.58
13213.05,17.17
8193.73,10.0
8616.71,10.75
4367.2,6.25
4367.2,6.17
4367.2,6.25
10345.87,14.17
12441.3,15.83
3627.3,5.82
3627.3,6.08
3627.3,5.82
3627.3,5.92
3627.3,5.75
3627.3,5.92
3627.3,5.92
11639.19,15.0
11639.19,15.33
10560.77,14.08
10560.77,13.5
3493.95,5.53
3493.95,5.55
3493.95,5.53
3493.95,5.53
3493.95,5.5
3493.95,5.6
3493.95,5.1
3493.95,5.65
3493.95,4.93
3493.95,5.28
715.88,1.7
715.88,1.7
715.88,1.7
715.88,1.7
715.88,1.7
715.88,3.13
715.88,1.63
715.88,1.2
2060.08,3.9
2060.08,4.02
2060.08,3.9
2060.08,3.88
2060.08,4.38
558.96,1.67
558.96,1.8
558.96,1.7
558.96,1.63
558.96,1.92
558.96,1.9
558.96,1.63
558.96,1.55
558.96,1.75
558.96,1.73
558.96,1.67
558.96,1.65
558.96,1.75
558.96,1.73
558.96,1.48
11414.36,14.92
11414.36,14.67
11414.36,13.17
1989.51,3.25
1989.51,3.42
1989.51,3.43
1989.51,3.43
1989.51,3.7
1989.51,3.58
1989.51,3.25
1989.51,4.72
1989.51,3.48
1989.51,4.58
1989.51,3.73
588.6,2.0
588.6,2.17
588.6,1.73
